device_id=0 interval_ms=1 counter_resolution_uJ=15.3
timestamp_ns,current_socket_power_W,inst_power_W,gfx_clock_MHz
944802985328414,715,682.252,1891
944802987633638,716,650.801,1892
944802990077779,717,922.191,1894
944802992317366,717,666.732,1896
944802994653335,718,643.689,1897
944802997125328,719,917.873,1900
944802999356142,720,679.093,1901
944803001655998,720,657.955,1902
944803004079248,721,914.351,1904
944803006370171,722,673.129,1905
944803008663557,722,650.03,1906
944803011091433,723,930.405,1908
944803013386664,724,655.054,1909
944803015676185,724,656.133,1910
944803018169980,725,913.014,1912
944803020396967,725,659.374,1912
944803022684294,726,670.809,1914
944803025167473,726,896.307,1915
944803027400962,727,674.402,1916
944803029698305,728,662.49,1917
944803032097157,728,932.42,1918
944803034318557,729,686.117,1920
944803036488581,729,682.88,1920
944803038714156,729,676.642,1921
944803041188632,730,916.673,1923
944803043413057,730,675.706,1923
944803045719774,731,658.969,1924
944803048191625,731,908.709,1925
944803050430411,732,670.018,1926
944803052725570,732,659.801,1927
944803055127519,732,926.09,1928
944803057449798,733,650.132,1929
944803059738417,733,658.183,1930
944803062211932,734,918.131,1931
944803064450657,734,674.916,1932
944803066748140,735,657.955,1932
944803069226471,735,900.857,1933
944803071460049,735,678.478,1934
944803073760987,736,651.94,1934
944803076245878,736,918.404,1935
944803078446377,736,672.86,1935
944803080776419,737,648.052,1936
944803083253759,737,911.692,1936
944803085421619,737,694.191,1937
944803087773332,737,624.813,1937
944803090251062,738,921.354,1938
944803092470971,738,680.437,1939
944803094798697,738,640.94,1939
944803097268708,739,916.912,1940
944803099497228,739,687.454,1940
944803101804745,739,640.394,1940
944803104278099,739,909.301,1941
944803106507651,740,675.922,1941
944803108814678,740,647.593,1942
944803111285620,740,915.991,1942
944803113458156,740,690.38,1943
944803115632416,741,697.791,1943
944803117829640,741,692.824,1943
944803120315923,741,902.819,1943
944803122537943,741,678.599,1944
944803124837279,741,649.413,1944
944803127253499,742,944.664,1944
944803129647645,742,623.919,1944
944803131851529,742,675.45,1944
944803134320887,742,920.494,1944
944803136546102,742,664.74,1944
944803138858728,743,652.839,1944
944803141332202,743,910.358,1945
944803143570987,743,676.928,1945
944803145868771,743,660.952,1945
944803148338400,743,897.495,1946
944803150597216,743,676.784,1946
944803152879635,743,653.328,1947
944803155353080,744,915.286,1947
944803157595240,744,660.972,1947
944803159889758,744,655.891,1948
944803162306499,744,943.131,1948
944803164610071,744,651.387,1948
944803166901234,744,653.506,1949
944803169344202,745,927.388,1949
944803171629878,745,669.507,1949
944803173913099,745,644.153,1949
944803176386404,745,915.264,1949
944803178634132,745,664.698,1949
944803180922903,745,658.407,1950
944803183410278,745,908.014,1950
944803185639198,745,674.398,1950
944803187932094,745,657.816,1950
944803190417366,746,905.79,1951
944803192640028,746,687.242,1951
944803194943859,746,642.88,1951
944803197422633,746,912.578,1951
944803199644332,746,671.005,1951
944803201957018,746,648.145,1952
944803204439776,746,906.257,1952
944803206673795,746,692.617,1953
944803208967161,746,633.891,1953
944803211452943,746,909.088,1953
944803213637809,746,692.478,1954
944803215976063,747,652.561,1954
944803218364260,746,931.224,1954
944803220654032,747,659.529,1955
944803222988339,747,640.628,1955
944803225461603,747,917.525,1955
944803227710844,747,659.707,1956
944803230013174,747,665.275,1956
944803232469784,747,909.906,1956
944803234700757,747,678.359,1957
944803237021255,747,647.816,1957
944803239495831,747,920.872,1957
944803241699644,747,674.062,1957
944803244029886,747,652.953,1958
944803246491132,747,906.029,1958
944803248736638,748,685.279,1958
944803251049001,747,636.114,1958
944803253453144,748,943.662,1958
944803255740762,748,659,1959
944803258052346,748,649.89,1959
944803260515765,748,909.962,1959
944803262717145,748,682.439,1959
944803265059886,748,632.842,1959
944803267474161,748,948.999,1960
944803269700839,748,675.558,1960
944803272077399,748,628.607,1960
944803274499607,748,933.176,1960
944803276757792,748,667.277,1960
944803279087592,748,643.325,1961
944803281552885,748,920.243,1961
944803283789287,748,674.222,1961
944803286093971,748,644.454,1961
944803288572472,748,916.142,1961
944803290786811,748,673.643,1961
944803293106156,748,647.683,1962
944803295515946,748,941.242,1962
944803297837274,749,657.128,1962
944803300117701,748,647.149,1962
944803302583305,748,914.437,1962
944803304768521,749,697.093,1962
944803307126784,749,633.393,1962
944803309597544,749,922.851,1962
944803311866124,749,656.848,1961
944803314138459,749,666.038,1961
944803316607447,749,902.655,1961
944803318850910,749,670.804,1961
944803321148884,749,667.775,1961
944803323616389,749,903.495,1961
944803325863286,749,659.394,1961
944803328159317,749,672.838,1962
944803330628835,749,899.785,1962
944803332862383,749,685.701,1962
944803335169791,749,642.4,1962
944803337645609,749,919.785,1962
944803339836273,749,687.907,1962
944803342176829,749,633.557,1962
944803344659357,749,921.398,1962
944803346872124,749,677.987,1962
944803349182316,749,642.109,1962
944803351655339,749,910.66,1962
944803353890830,749,683.134,1962
944803356187221,749,662.952,1962
944803358665052,749,898.631,1962
944803360821385,749,695.986,1961
944803362982926,749,699.802,1961
944803365211676,749,671.298,1961
944803367688166,750,923.996,1962
944803369863958,749,687.469,1961
944803372224705,749,631.8,1961
944803374646552,749,926.555,1961
944803376882914,749,666.318,1961
944803379229740,749,649.18,1961
944803381699659,749,913.341,1961
944803383893037,749,682.634,1961
944803386237980,749,640.267,1961
944803388707279,749,916.811,1961
944803390904673,749,677.459,1961
944803393246692,749,646.998,1961
944803395676691,750,935.718,1961
944803397949738,749,652.138,1961
944803400260241,750,660.227,1961
944803402676570,749,927.816,1961
944803404892842,749,677.218,1961
944803407268481,750,638.853,1961
944803409757288,750,911.739,1961
944803411979869,750,665.672,1961
944803414276901,750,659.689,1961
944803416677838,750,934.675,1961
944803419098934,750,628.28,1961
944803421291091,750,681.053,1960
944803423774570,749,903.425,1961
944803426025764,750,687.224,1961
944803428311599,750,641.602,1960
944803430780497,749,905.222,1960
944803433028616,750,679.63,1961
944803435309185,750,661.936,1961
944803437782388,749,903.82,1961
944803440035956,750,668.088,1961
944803442320239,750,658.904,1961
944803444793953,750,912.076,1961
944803446974342,750,701.85,1961
944803449330873,750,625.873,1961
944803451776856,750,934.626,1961
944803454012216,750,683.495,1961
944803456339013,750,623.85,1961
944803458833458,750,919.523,1961
944803461050802,750,666.63,1961
944803463355305,750,659.091,1961
944803465825095,750,901.94,1961
944803468084470,750,671.957,1961
944803470365840,750,651.308,1961
944803472836249,750,921.675,1961
944803475043679,750,676.472,1961
944803477376333,750,657.696,1961
944803479762768,750,931.29,1961
944803482107150,750,647.468,1961
944803484385235,750,658.876,1961
944803486856957,750,914.265,1961
944803489126817,750,669.865,1961
944803491404422,750,654.252,1961
944803493786961,750,950.575,1961
944803496121058,750,651.973,1961
944803498406652,750,639.876,1960
944803500825856,750,942.417,1960
944803503133876,750,646.353,1960
944803505418990,750,665.279,1960
944803507833416,750,929.378,1960
944803510087645,750,659.204,1960
944803512427560,750,653.203,1960
944803514903989,750,917.242,1960
944803517156485,750,652.389,1960
944803519443083,750,662.104,1960
944803521912791,750,910.47,1960
944803524130264,750,691.306,1960
944803526451032,750,633.547,1960
944803528923694,750,917.915,1960
944803531120999,750,675.363,1960
944803533463228,750,639.591,1960
944803535855351,750,948.948,1960
944803538130772,750,654.847,1961
944803540471448,750,649.127,1961
944803542860046,750,942.892,1961
944803545184670,750,650.76,1961
944803547484225,750,650.269,1961
944803549924250,750,931.604,1961
944803552188364,750,662.34,1961
944803554494390,750,654.29,1961
944803556980783,750,908.219,1961
944803559216093,750,676.584,1961
944803561506826,750,646.99,1961
944803563977797,750,914.562,1961
944803566258174,750,666.621,1961
944803568522607,750,661.957,1961
944803570985997,750,915.153,1961
944803573242700,750,669.77,1961
944803575527884,750,669.878,1961
944803578020867,750,891.144,1960
944803580201657,750,677.306,1960
944803582544266,750,653.562,1960
944803585035267,750,906.735,1960
944803587246852,750,678.778,1960
944803589551966,750,649.776,1960
944803592029566,750,919.328,1960
944803594217387,750,682.206,1960
944803596563862,750,646.565,1960
944803599046870,750,902.771,1960
944803601245136,750,692.864,1960
944803603571733,750,632.143,1959
944803606057234,750,912.232,1959
944803608245724,750,691.702,1959
944803610582266,750,633.218,1959
944803613064233,750,919.973,1959
944803615258212,750,682.077,1959
944803617594953,750,635.371,1959
944803620018042,750,933.468,1959
944803622313142,750,657.298,1959
944803624614100,750,662.527,1959
944803627045751,750,914.438,1959
944803629334602,750,653.905,1960
944803631616771,750,678.292,1960
944803634106660,750,898.943,1959
944803636322001,750,671.453,1959
944803638624993,750,647.233,1960
944803641105317,750,926.294,1960
944803643338484,750,659.338,1959
944803645640103,750,655.908,1960
944803648120838,750,913.127,1960
944803650330120,750,682.733,1960
944803652650036,750,639.055,1960
944803655129639,750,917.857,1960
944803657251251,750,702.854,1960
944803659444098,750,691.171,1960
944803661664747,750,677.158,1960
944803664138231,750,911.029,1960
944803666368143,750,679.635,1960
944803668676743,750,650.141,1960
944803671158129,750,909.7,1960
944803673331057,750,683.798,1960
944803675683591,750,645.83,1960
944803678163365,750,901.24,1960
944803680401099,749,653.609,1960
944803682695788,749,647.814,1961
944803685085027,747,858.667,1963
944803687316442,745,555.463,1964
944803689493005,742,571.31,1966
944803691714886,739,513.61,1969
944803694105236,731,618.83,1973
944803696318935,726,401.704,1975
944803698502348,719,347.314,1978
944803700726452,711,306.969,1980
944803703147818,698,346.609,1984
944803705504639,689,209.218,1977
944803707729434,681,230.566,1979
944803710175277,668,299.364,1982
944803712731845,659,189.837,1978
944803715177618,647,292.372,1981
944803717360521,639,216.242,1984
944803719551736,631,218.431,1986
944803721750953,623,213.177,1989
944803724408080,611,275.698,1992
944803726757409,604,199.986,1987
944803729156223,593,289.23,1990
944803731382831,586,207.545,1992
944803733566785,579,214.289,1995
944803735773022,572,215.425,1997
944803738359044,562,283.485,2000
944803740768333,556,201.613,1988
944803743180265,545,257.437,1933
944803745408525,539,183.386,1897
944803747587182,532,186.01,1862
944803750140655,525,158.478,1820
944803752495894,519,195.32,1817
944803754660859,508,217.023,1788
944803756915188,501,181.714,1759
944803759414020,496,324.45,1730
