device_id=0 interval_ms=1 counter_resolution_uJ=15.3
timestamp_ns,current_socket_power_W,inst_power_W,gfx_clock_MHz
944804306250395,652,283.044,1732
944804308413869,644,218.545,1740
944804310658233,636,209.162,1747
944804313051789,624,291.956,1757
944804315531622,616,187.623,1764
944804318058215,605,290.735,1774
944804320259806,598,211.641,1774
944804322436199,590,212.812,1780
944804324681814,583,208.261,1787
944804327073728,573,287.295,1796
944804329253275,566,217.144,1802
944804331535125,559,210.258,1808
944804334077712,549,268.386,1785
944804336246293,543,188.786,1752
944804338394494,536,191.916,1720
944804340693449,529,171.438,1688
944804343429564,519,215.947,1643
944804346097587,511,278.466,1654
944804348317454,505,183.611,1628
944804350487328,499,187.263,1602
944804352714747,493,182.789,1577
